Goal,Team A,Team B,Winner
29-28,Mumbai,Jaipur,Mumbai
36-23,Mumbai,Bengaluru,Mumbai
25-20,Mumbai,Patna,Mumbai
28-21,Mumbai,Pune,Mumbai
25-29,Bengal,Mumbai,Mumbai
26-27,Hyderabad,Mumbai,Mumbai
22-27,Delhi,Mumbai,Mumbai
29-25,Mumbai,Delhi,Mumbai
35-25,Jaipur,Mumbai,Jaipur
31-17,Mumbai,Bengal,Mumbai
29-36,Bengaluru,Mumbai,Mumbai
27-32,Patna,Mumbai,Mumbai
34-39,Pune,Mumbai,Mumbai
25-46,Mumbai,Hyderabad,Hyderabad
35-18,Mumbai,Patna,Mumbai
36-30,Mumbai,Bengaluru,Mumbai
36-27,Hyderabad,Delhi,Hyderabad
24-45,Pune,Hyderabad,Hyderabad
30-32,Bengal,Hyderabad,Hyderabad
22-33,Jaipur,Hyderabad,Hyderabad
22-34,Patna,Hyderabad,Hyderabad
21-35,Hyderabad,Bengaluru,Bengaluru
39-39,Hyderabad,Jaipur,tie
44-28,Hyderabad,Bengal,Hyderabad
54-32,Hyderabad,Patna,Hyderabad
29-29,Hyderabad,Pune,tie
45-45,Delhi,Hyderabad,tie
43-29,Bengaluru,Hyderabad,Bengaluru
38-39,Hyderabad,Bengaluru,Bengaluru
26-34,Patna,Hyderabad,Hyderabad
33-25,Bengaluru,Bengal,Bengaluru
31-26,Bengaluru,Patna,Bengaluru
31-26,Bengaluru,Pune,Bengaluru
18-33,Delhi,Bengaluru,Bengaluru
36-23,Jaipur,Bengaluru,Jaipur
22-33,Bengal,Bengaluru,Bengaluru
30-28,Patna,Bengaluru,Patna
25-27,Bengaluru,Jaipur,Jaipur
40-21,Bengaluru,Delhi,Bengaluru
30-31,Pune,Bengaluru,Bengaluru
23-29,Jaipur,Patna,Patna
39-22,Patna,Delhi,Patna
32-28,Patna,Pune,Patna
20-20,Patna,Bengal,tie
45-26,Delhi,Patna,Delhi
32-34,Bengal,Patna,Patna
21-38,Pune,Patna,Patna
26-24,Patna,Jaipur,Patna
28-26,Bengal,Jaipur,Bengal
27-35,Jaipur,Delhi,Delhi
29-35,Pune,Jaipur,Jaipur
21-51,Delhi,Jaipur,Jaipur
31-18,Jaipur,Pune,Jaipur
38-39,Jaipur,Bengal,Bengal
21-32,Bengal,Delhi,Delhi
33-29,Pune,Bengal,Pune
17-20,Delhi,Bengal,Bengal
31-28,Bengal,Pune,Bengal
38-37,Delhi,Pune,Delhi
33-28,Pune,Delhi,Pune
