player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
10,,1.0,,1.0,2.0,2.0,,,,,2.0,,Simon Kibura,7,8.0,Raider,2
12,,5.27,0.73,33.0,79.0,64.0,9.0,2.0,2.0,11.0,90.0,2.0,Jang Kun Lee,4,8.0,Raider,15
13,,0.75,0.25,2.0,3.0,2.0,2.0,,,2.0,5.0,,Seong Ryeol Kim,2,9.0,Defender,8
14,,,0.0,,1.0,1.0,,,,,1.0,,Tae Deok Eom,6,1.0,All Rounder,7
26,,3.71,0.29,24.0,52.0,41.0,4.0,2.0,,4.0,56.0,1.0,Ajay Thakur,7,8.0,Raider,14
28,,,1.0,,,,5.0,,,5.0,5.0,,Amit Singh Chhillar,2,3.0,"Defender, left corner",5
29,,5.85,0.23,3.0,76.0,63.0,3.0,3.0,,3.0,79.0,,Anup Kumar,5,8.0,Raider,13
34,,1.0,0.09,10.0,11.0,8.0,1.0,,,1.0,12.0,,Bhupender Singh,5,1.0,All Rounder,11
41,,5.75,0.58,21.0,69.0,62.0,7.0,,,7.0,76.0,1.0,Deepak Niwas Hooda,7,1.0,All Rounder,12
42,2.0,0.6,2.21,1.0,6.0,3.0,28.0,,3.0,31.0,37.0,,Dharmaraj Cheralathan,8,10.0,"Defender, right and left corner",14
44,,0.17,0.9,1.0,1.0,1.0,8.0,,1.0,9.0,10.0,,Gangadhari Mallesh,3,8.0,Raider,10
46,,0.8,,1.0,4.0,2.0,2.0,,,2.0,6.0,,Gurvinder Singh,6,8.0,Raider,5
51,4.0,,2.88,,,,41.0,,5.0,46.0,46.0,,Jasmer Singh Gulia,7,1.0,All Rounder,16
52,,6.25,,12.0,25.0,15.0,,2.0,,,25.0,1.0,Jasvir Singh,3,8.0,Raider,4
54,,,1.94,,,,30.0,,1.0,31.0,31.0,,Jeeva Kumar,5,5.0,"Defender, right and left cover",16
58,,6.82,0.27,9.0,75.0,55.0,3.0,3.0,,3.0,78.0,1.0,Kashiling Adake,2,8.0,Raider,11
61,,,,,,,3.0,,,3.0,3.0,,Kuldeep Singh,2,3.0,"Defender, left corner",1
66,,2.54,0.08,12.0,33.0,30.0,1.0,,,1.0,34.0,,Mahesh Goud,4,8.0,Raider,13
67,,1.25,2.0,1.0,5.0,3.0,8.0,,,8.0,13.0,,Mahipal Narwal,6,1.0,All Rounder,4
69,5.0,3.0,4.07,6.0,45.0,37.0,56.0,2.0,5.0,61.0,106.0,,Manjeet Chhillar,7,1.0,All Rounder,15
70,1.0,,1.55,,,,13.0,,4.0,17.0,17.0,,Manoj Kumar,8,4.0,"Defender, left cover",11
71,6.0,,3.54,,,,44.0,,2.0,46.0,46.0,,Mohit Chhillar,5,6.0,"Defender, right corner",13
72,,,0.43,,1.0,,3.0,,,3.0,4.0,,Navneet Gautam,3,3.0,"Defender, left corner",7
73,1.0,0.18,2.13,,2.0,2.0,30.0,,4.0,34.0,36.0,,Nilesh Shinde,4,6.0,"Defender, right corner",16
76,,,0.5,,,,5.0,,,5.0,5.0,,Nitin More,4,4.0,"Defender, left cover",10
79,,0.5,,,1.0,1.0,,,,,1.0,,Pravin Niwale,2,8.0,Raider,2
81,,6.69,0.92,9.0,87.0,77.0,10.0,1.0,2.0,12.0,99.0,4.0,Rahul Chaudhari,8,8.0,Raider,13
84,,,0.86,,,,6.0,,,6.0,6.0,,Rajaguru Subramanian,2,7.0,"Defender, right cover",7
85,,3.0,,16.0,27.0,18.0,1.0,2.0,,1.0,28.0,,Rajesh Mondal,6,8.0,Raider,9
86,1.0,4.21,1.5,14.0,59.0,47.0,18.0,2.0,3.0,21.0,80.0,1.0,Rajesh Narwal,3,1.0,All Rounder,14
87,,,,,,,1.0,,,1.0,1.0,,Raju Lal Choudhary,3,6.0,"Defender, right corner",1
88,1.0,2.2,1.2,6.0,33.0,29.0,16.0,,2.0,18.0,51.0,,Rakesh Kumar,5,1.0,All Rounder,15
94,,6.63,0.56,29.0,106.0,86.0,8.0,4.0,1.0,9.0,115.0,2.0,Rishank Devadiga,5,8.0,Raider,16
96,1.0,0.17,1.42,,1.0,,14.0,,3.0,17.0,18.0,,Rohit Rana,3,4.0,"Defender, left cover",12
105,,1.3,,4.0,13.0,11.0,,,,,13.0,,Shabeer Bappu,5,8.0,Raider,10
106,,2.0,,2.0,10.0,9.0,,,,,10.0,,Shrikant Jadhav,4,8.0,Raider,5
107,1.0,2.0,1.0,,20.0,16.0,12.0,1.0,1.0,13.0,33.0,,Shrikant Tewthia,1,1.0,All Rounder,13
108,,1.4,0.71,,7.0,4.0,4.0,1.0,1.0,5.0,12.0,,Shyam Kumar Sah,4,4.0,"Defender, left cover",7
109,,,0.0,,,,,,,,,,Somvir Shekhar,7,7.0,"Defender, right cover",3
111,,4.69,0.23,11.0,61.0,49.0,2.0,,1.0,3.0,64.0,,Sukesh Hegde,8,8.0,Raider,13
118,,3.33,0.25,2.0,40.0,29.0,3.0,2.0,,3.0,43.0,1.0,Surjeet Narwal,1,8.0,Raider,12
119,,5.67,0.0,6.0,68.0,54.0,,,,,68.0,5.0,CPO Surjeet Singh,2,8.0,Raider,12
123,,,1.23,,,,16.0,,,16.0,16.0,,Vishal Mane,5,7.0,"Defender, right cover",13
141,,2.0,,,4.0,4.0,,,,,4.0,,Sunil Jaipal,6,8.0,Raider,2
142,6.0,0.64,3.93,,9.0,8.0,53.0,,2.0,55.0,64.0,,Sandeep Narwal,6,1.0,All Rounder,14
146,,0.5,1.86,,1.0,,13.0,,,13.0,14.0,,Surender Nada,5,3.0,"Defender, left corner",7
147,,,0.5,,,,3.0,,,3.0,3.0,,Prashant Chavan,7,6.0,"Defender, right corner",6
150,,,,,,,2.0,,,2.0,2.0,,Parmod Narwal,1,1.0,All Rounder,4
152,,,,,,,1.0,,,1.0,1.0,,D. Gopu,8,10.0,"Defender, right and left corner",2
155,,1.0,,1.0,12.0,8.0,,,,,12.0,,Prashanth Kumar Rai,8,8.0,Raider,13
156,,1.5,,3.0,6.0,4.0,,,,,6.0,,Pawan Kumar Kadian,5,8.0,Raider,5
157,2.0,0.89,2.36,,8.0,4.0,22.0,,4.0,26.0,34.0,,Ravinder Pahal,2,6.0,"Defender, right corner",11
158,,,0.38,,,,3.0,,,3.0,3.0,,Rakesh Singh Kumar,2,4.0,"Defender, left cover",8
159,,0.4,1.2,,2.0,2.0,5.0,,1.0,6.0,8.0,,Samarjeet Singh,3,1.0,All Rounder,5
160,,1.54,1.5,8.0,20.0,15.0,21.0,2.0,,21.0,41.0,,Ran Singh,3,1.0,All Rounder,14
161,3.0,0.11,3.0,,1.0,,33.0,,,33.0,34.0,,Girish Maruti Ernak,4,3.0,"Defender, left corner",11
162,,,1.5,,,,16.0,,2.0,18.0,18.0,,D. Suresh Kumar,6,7.0,"Defender, right cover",12
163,,2.38,0.88,12.0,19.0,17.0,5.0,,2.0,7.0,26.0,,Mahendra Ganesh Rajput,4,8.0,Raider,8
164,1.0,,2.31,,,,36.0,,1.0,37.0,37.0,,Bajirao Hodage,4,7.0,"Defender, right cover",16
165,,,3.0,,,,5.0,,1.0,6.0,6.0,,Sachin Shingade,7,4.0,"Defender, left cover",2
167,,0.83,0.82,,5.0,3.0,9.0,,,9.0,14.0,,Preetam Chhillar,1,1.0,All Rounder,11
172,,2.29,,10.0,16.0,13.0,,,,,16.0,,Vinoth Kumar,1,8.0,Raider,7
173,,,,1.0,2.0,2.0,,,,,2.0,,Suresu Kumar,5,8.0,Raider,3
174,,3.7,,20.0,37.0,29.0,,3.0,,,37.0,,Deepak Kumar Dahiya,1,8.0,Raider,10
179,,,1.33,,,,12.0,,,12.0,12.0,,Vikas Kale,8,7.0,"Defender, right cover",9
181,,,,,,,1.0,,,1.0,1.0,,Deepak Dhull,4,4.0,"Defender, left cover",1
184,,,1.33,,,,3.0,,1.0,4.0,4.0,,Deepak Kumar,4,3.0,"Defender, left corner",3
185,,,0.5,,,,2.0,,,2.0,2.0,,Vijin Thangadurai,4,7.0,"Defender, right cover",4
190,,5.0,,8.0,55.0,49.0,,2.0,,,55.0,,Sonu Narwal,3,8.0,Raider,11
191,1.0,0.25,1.55,,1.0,1.0,12.0,,5.0,17.0,18.0,,C. Arun,3,4.0,"Defender, left cover",11
