team_id,Team All-outs Conceded,Team All-outs Inflicted,Team Average Raid Points,Team Average Tackle Points,Team Avg Points Scored,Team DOD Raid Points,Team Raid Points,Team Successful Raids,Team Successful Tackles,Team Super Raid,Team Super Tackles,Team Tackle Points,Team Total Points,Team Total Points Conceded,team_name
1,24.0,37.0,22.79,9.58,32.37,73.0,547.0,431.0,219.0,20.0,12.0,230.0,887.0,766.0,Bengaluru Bulls
2,28.0,34.0,20.13,9.0,29.12,73.0,483.0,401.0,198.0,13.0,19.0,216.0,822.0,824.0,Dabang Delhi K.C.
3,32.0,22.0,18.86,10.23,29.09,75.0,415.0,334.0,202.0,13.0,25.0,225.0,711.0,780.0,Jaipur Pink Panthers
4,23.0,23.0,18.96,8.7,27.65,85.0,436.0,340.0,186.0,16.0,16.0,200.0,725.0,734.0,Bengal Warriors
5,16.0,41.0,19.96,12.57,32.52,89.0,459.0,372.0,274.0,15.0,15.0,289.0,856.0,672.0,U Mumba
6,30.0,30.0,22.55,9.14,31.68,54.0,496.0,406.0,186.0,11.0,16.0,201.0,799.0,835.0,Patna Pirates
7,29.0,14.0,15.73,9.95,25.68,71.0,346.0,286.0,189.0,7.0,34.0,219.0,649.0,694.0,Puneri Paltan
8,25.0,18.0,16.05,10.59,26.63,85.0,353.0,289.0,202.0,9.0,33.0,233.0,647.0,702.0,Telugu Titans
28,33.0,16.0,20.32,8.77,29.09,45.0,447.0,361.0,180.0,12.0,15.0,193.0,715.0,806.0,Haryana Steelers
29,27.0,20.0,19.05,8.59,27.63,67.0,419.0,344.0,174.0,7.0,15.0,189.0,671.0,741.0,Tamil Thalaivas
30,30.0,26.0,17.96,10.6,28.56,86.0,449.0,357.0,240.0,10.0,27.0,265.0,812.0,847.0,U.P. Yoddha
31,20.0,36.0,19.2,10.96,30.16,74.0,480.0,392.0,258.0,10.0,18.0,274.0,876.0,769.0,Gujarat Fortunegiants
