match_played,player_id,player_name,position_id,position_name,rank,season,stat,tackles,team_full_name,team_id,team_name,value
101,197,Pardeep Narwal,8.0,Raider,1,All Seasons,Player Total Points,,Patna Pirates,6,PAT,1055.0
117,81,Rahul Chaudhari,8.0,Raider,2,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,989.0
119,41,Deepak Niwas Hooda,1.0,All Rounder,3,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,905.0
115,26,Ajay Thakur,8.0,Raider,4,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,811.0
88,326,Rohit Kumar,8.0,Raider,5,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,689.0
75,143,Maninder Singh,8.0,Raider,6,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,673.0
115,94,Rishank Devadiga,8.0,Raider,7,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,636.0
92,58,Kashiling Adake,8.0,Raider,8,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,612.0
91,29,Anup Kumar,8.0,Raider,9,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,596.0
72,318,Pawan Kumar Sehrawat,8.0,Raider,10,All Seasons,Player Total Points,,Bengaluru Bulls,1,BEN,572.0
107,69,Manjeet Chhillar,1.0,All Rounder,11,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,562.0
117,142,Sandeep Narwal,1.0,All Rounder,12,All Seasons,Player Total Points,,U Mumba,5,MUM,534.0
68,388,Monu Goyat,8.0,Raider,13,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,475.0
100,12,Jang Kun Lee,8.0,Raider,14,All Seasons,Player Total Points,,Patna Pirates,6,PAT,462.0
61,757,Sachin Tanwar,8.0,Raider,15,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,456.0
63,320,Nitin Tomar,8.0,Raider,16,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,445.0
77,52,Jasvir Singh,8.0,Raider,17,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,412.0
92,86,Rajesh Narwal,1.0,All Rounder,18,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,397.0
94,111,Sukesh Hegde,8.0,Raider,19,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,395.0
94,251,Meraj Sheykh,1.0,All Rounder,20,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,393.0
38,2296,Naveen Kumar,8.0,Raider,21,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,376.0
70,106,Shrikant Jadhav,8.0,Raider,22,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,359.0
90,155,Prashanth Kumar Rai,8.0,Raider,23,All Seasons,Player Total Points,,Haryana Steelers,28,HS,358.0
47,366,Vikash Kandola,8.0,Raider,23,All Seasons,Player Total Points,,Haryana Steelers,28,HS,358.0
79,219,K. Prapanjan,8.0,Raider,25,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,357.0
36,2026,Siddharth Sirish Desai,8.0,Raider,26,All Seasons,Player Total Points,,Telugu Titans,8,HYD,349.0
105,157,Ravinder Pahal,6.0,"Defender, right corner",27,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,321.0
115,160,Ran Singh,1.0,All Rounder,28,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,320.0
78,211,Deepak Narwal,8.0,Raider,29,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,306.0
47,124,Wazir Singh,8.0,Raider,30,All Seasons,Player Total Points,,Haryana Steelers,28,HS,300.0
57,36,Chandran Ranjit,8.0,Raider,31,All Seasons,Player Total Points,,Dabang Delhi K.C.,2,DEL,295.0
114,42,Dharmaraj Cheralathan,10.0,"Defender, right and left corner",32,All Seasons,Player Total Points,,Haryana Steelers,28,HS,294.0
95,259,Fazel Atrachali,3.0,"Defender, left corner",33,All Seasons,Player Total Points,,U Mumba,5,MUM,292.0
65,261,Rohit Baliyan,8.0,Raider,33,All Seasons,Player Total Points,,U Mumba,5,MUM,292.0
76,293,Nilesh Salunke,8.0,Raider,35,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,290.0
107,71,Mohit Chhillar,6.0,"Defender, right corner",36,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,283.0
74,156,Pawan Kumar Kadian,8.0,Raider,37,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,279.0
89,85,Rajesh Mondal,8.0,Raider,38,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,270.0
90,322,PO Surjeet Singh,7.0,"Defender, right cover",39,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,267.0
102,161,Girish Maruti Ernak,3.0,"Defender, left corner",40,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,265.0
55,88,Rakesh Kumar,1.0,All Rounder,41,All Seasons,Player Total Points,,Telugu Titans,8,HYD,260.0
71,146,Surender Nada,3.0,"Defender, left corner",42,All Seasons,Player Total Points,,Haryana Steelers,28,HS,243.0
73,105,Shabeer Bappu,8.0,Raider,43,All Seasons,Player Total Points,,Tamil Thalaivas,29,TT,236.0
84,212,Amit Hooda,6.0,"Defender, right corner",44,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,233.0
108,54,Jeeva Kumar,5.0,"Defender, right and left cover",45,All Seasons,Player Total Points,,Bengal Warriors,4,KOL,222.0
39,763,Manjeet,8.0,Raider,46,All Seasons,Player Total Points,,Puneri Paltan,7,PUN,216.0
62,163,Mahendra Ganesh Rajput,8.0,Raider,47,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,195.0
56,358,Vishal Bhardwaj,9.0,Defender,48,All Seasons,Player Total Points,,Telugu Titans,8,HYD,192.0
60,290,Sandeep Kumar Dhull,3.0,"Defender, left corner",48,All Seasons,Player Total Points,,Jaipur Pink Panthers,3,JAI,192.0
54,686,Rohit Gulia,1.0,All Rounder,48,All Seasons,Player Total Points,,Gujarat Fortunegiants,31,GFG,192.0
60,725,Nitesh Kumar,9.0,Defender,51,All Seasons,Player Total Points,,U.P. Yoddha,30,UPY,191.0
