match_played,rank,team_id,team_name,value,stat,season
128,1,6,Patna Pirates,4408.0,Team Total Points,All Seasons
122,2,5,U Mumba,3962.0,Team Total Points,All Seasons
122,3,1,Bengaluru Bulls,3848.0,Team Total Points,All Seasons
119,4,8,Telugu Titans,3791.0,Team Total Points,All Seasons
122,5,7,Puneri Paltan,3736.0,Team Total Points,All Seasons
120,6,3,Jaipur Pink Panthers,3686.0,Team Total Points,All Seasons
121,7,4,Bengal Warriors,3656.0,Team Total Points,All Seasons
118,8,2,Dabang Delhi K.C.,3642.0,Team Total Points,All Seasons
65,9,31,Gujarat Fortunegiants,2116.0,Team Total Points,All Seasons
63,10,30,U.P. Yoddha,2010.0,Team Total Points,All Seasons
60,11,28,Haryana Steelers,1949.0,Team Total Points,All Seasons
60,12,29,Tamil Thalaivas,1819.0,Team Total Points,All Seasons
128,1,6,Patna Pirates,4183.0,Team Total Points Conceded,All Seasons
118,2,2,Dabang Delhi K.C.,3926.0,Team Total Points Conceded,All Seasons
122,3,7,Puneri Paltan,3848.0,Team Total Points Conceded,All Seasons
121,4,4,Bengal Warriors,3798.0,Team Total Points Conceded,All Seasons
122,5,1,Bengaluru Bulls,3793.0,Team Total Points Conceded,All Seasons
119,6,8,Telugu Titans,3748.0,Team Total Points Conceded,All Seasons
120,7,3,Jaipur Pink Panthers,3727.0,Team Total Points Conceded,All Seasons
122,8,5,U Mumba,3602.0,Team Total Points Conceded,All Seasons
63,9,30,U.P. Yoddha,2089.0,Team Total Points Conceded,All Seasons
60,10,29,Tamil Thalaivas,2024.0,Team Total Points Conceded,All Seasons
60,11,28,Haryana Steelers,2002.0,Team Total Points Conceded,All Seasons
65,12,31,Gujarat Fortunegiants,1883.0,Team Total Points Conceded,All Seasons
128,1,6,Patna Pirates,29.95,Team Avg Points Scored,All Seasons
60,2,28,Haryana Steelers,28.61,Team Avg Points Scored,All Seasons
122,3,5,U Mumba,28.44,Team Avg Points Scored,All Seasons
119,4,8,Telugu Titans,28.11,Team Avg Points Scored,All Seasons
65,5,31,Gujarat Fortunegiants,27.96,Team Avg Points Scored,All Seasons
63,6,30,U.P. Yoddha,27.95,Team Avg Points Scored,All Seasons
122,7,1,Bengaluru Bulls,27.54,Team Avg Points Scored,All Seasons
60,8,29,Tamil Thalaivas,27.25,Team Avg Points Scored,All Seasons
118,9,2,Dabang Delhi K.C.,26.82,Team Avg Points Scored,All Seasons
122,10,7,Puneri Paltan,26.68,Team Avg Points Scored,All Seasons
120,11,3,Jaipur Pink Panthers,26.62,Team Avg Points Scored,All Seasons
121,12,4,Bengal Warriors,26.52,Team Avg Points Scored,All Seasons
128,1,6,Patna Pirates,2008.0,Team Successful Raids,All Seasons
119,2,8,Telugu Titans,1778.0,Team Successful Raids,All Seasons
122,3,1,Bengaluru Bulls,1757.0,Team Successful Raids,All Seasons
122,4,5,U Mumba,1737.0,Team Successful Raids,All Seasons
121,5,4,Bengal Warriors,1702.0,Team Successful Raids,All Seasons
118,6,2,Dabang Delhi K.C.,1698.0,Team Successful Raids,All Seasons
120,7,3,Jaipur Pink Panthers,1624.0,Team Successful Raids,All Seasons
122,8,7,Puneri Paltan,1617.0,Team Successful Raids,All Seasons
65,9,31,Gujarat Fortunegiants,934.0,Team Successful Raids,All Seasons
60,10,29,Tamil Thalaivas,913.0,Team Successful Raids,All Seasons
60,11,28,Haryana Steelers,907.0,Team Successful Raids,All Seasons
63,12,30,U.P. Yoddha,894.0,Team Successful Raids,All Seasons
128,1,6,Patna Pirates,2550.0,Team Raid Points,All Seasons
122,2,1,Bengaluru Bulls,2215.0,Team Raid Points,All Seasons
119,3,8,Telugu Titans,2197.0,Team Raid Points,All Seasons
122,4,5,U Mumba,2188.0,Team Raid Points,All Seasons
121,5,4,Bengal Warriors,2128.0,Team Raid Points,All Seasons
118,6,2,Dabang Delhi K.C.,2117.0,Team Raid Points,All Seasons
120,7,3,Jaipur Pink Panthers,2060.0,Team Raid Points,All Seasons
122,8,7,Puneri Paltan,2029.0,Team Raid Points,All Seasons
63,9,30,U.P. Yoddha,1138.0,Team Raid Points,All Seasons
65,10,31,Gujarat Fortunegiants,1136.0,Team Raid Points,All Seasons
60,11,28,Haryana Steelers,1134.0,Team Raid Points,All Seasons
60,12,29,Tamil Thalaivas,1104.0,Team Raid Points,All Seasons
128,1,6,Patna Pirates,19.92,Team Average Raid Points,All Seasons
60,2,28,Haryana Steelers,18.9,Team Average Raid Points,All Seasons
119,3,8,Telugu Titans,18.46,Team Average Raid Points,All Seasons
60,4,29,Tamil Thalaivas,18.4,Team Average Raid Points,All Seasons
122,5,1,Bengaluru Bulls,18.16,Team Average Raid Points,All Seasons
63,6,30,U.P. Yoddha,18.06,Team Average Raid Points,All Seasons
118,7,2,Dabang Delhi K.C.,17.94,Team Average Raid Points,All Seasons
122,8,5,U Mumba,17.93,Team Average Raid Points,All Seasons
121,9,4,Bengal Warriors,17.59,Team Average Raid Points,All Seasons
65,10,31,Gujarat Fortunegiants,17.48,Team Average Raid Points,All Seasons
120,11,3,Jaipur Pink Panthers,17.17,Team Average Raid Points,All Seasons
122,12,7,Puneri Paltan,16.63,Team Average Raid Points,All Seasons
122,1,5,U Mumba,1183.0,Team Successful Tackles,All Seasons
128,2,6,Patna Pirates,1158.0,Team Successful Tackles,All Seasons
122,3,7,Puneri Paltan,1116.0,Team Successful Tackles,All Seasons
122,4,1,Bengaluru Bulls,1059.0,Team Successful Tackles,All Seasons
119,5,8,Telugu Titans,1040.0,Team Successful Tackles,All Seasons
120,6,3,Jaipur Pink Panthers,1016.0,Team Successful Tackles,All Seasons
121,7,4,Bengal Warriors,988.0,Team Successful Tackles,All Seasons
118,8,2,Dabang Delhi K.C.,960.0,Team Successful Tackles,All Seasons
65,9,31,Gujarat Fortunegiants,640.0,Team Successful Tackles,All Seasons
63,10,30,U.P. Yoddha,570.0,Team Successful Tackles,All Seasons
60,11,28,Haryana Steelers,538.0,Team Successful Tackles,All Seasons
60,12,29,Tamil Thalaivas,489.0,Team Successful Tackles,All Seasons
128,1,6,Patna Pirates,1284.0,Team Tackle Points,All Seasons
122,2,5,U Mumba,1282.0,Team Tackle Points,All Seasons
122,3,7,Puneri Paltan,1227.0,Team Tackle Points,All Seasons
119,4,8,Telugu Titans,1149.0,Team Tackle Points,All Seasons
122,5,1,Bengaluru Bulls,1145.0,Team Tackle Points,All Seasons
120,6,3,Jaipur Pink Panthers,1135.0,Team Tackle Points,All Seasons
121,7,4,Bengal Warriors,1081.0,Team Tackle Points,All Seasons
118,8,2,Dabang Delhi K.C.,1048.0,Team Tackle Points,All Seasons
65,9,31,Gujarat Fortunegiants,682.0,Team Tackle Points,All Seasons
63,10,30,U.P. Yoddha,623.0,Team Tackle Points,All Seasons
60,11,28,Haryana Steelers,583.0,Team Tackle Points,All Seasons
60,12,29,Tamil Thalaivas,531.0,Team Tackle Points,All Seasons
122,1,5,U Mumba,10.51,Team Average Tackle Points,All Seasons
65,2,31,Gujarat Fortunegiants,10.49,Team Average Tackle Points,All Seasons
122,3,7,Puneri Paltan,10.06,Team Average Tackle Points,All Seasons
128,4,6,Patna Pirates,10.03,Team Average Tackle Points,All Seasons
63,5,30,U.P. Yoddha,9.89,Team Average Tackle Points,All Seasons
60,6,28,Haryana Steelers,9.72,Team Average Tackle Points,All Seasons
119,7,8,Telugu Titans,9.66,Team Average Tackle Points,All Seasons
120,8,3,Jaipur Pink Panthers,9.46,Team Average Tackle Points,All Seasons
122,9,1,Bengaluru Bulls,9.39,Team Average Tackle Points,All Seasons
121,10,4,Bengal Warriors,8.93,Team Average Tackle Points,All Seasons
118,11,2,Dabang Delhi K.C.,8.88,Team Average Tackle Points,All Seasons
60,12,29,Tamil Thalaivas,8.85,Team Average Tackle Points,All Seasons
128,1,6,Patna Pirates,86.0,Team Super Raid,All Seasons
121,2,4,Bengal Warriors,67.0,Team Super Raid,All Seasons
122,3,5,U Mumba,61.0,Team Super Raid,All Seasons
122,3,1,Bengaluru Bulls,61.0,Team Super Raid,All Seasons
118,3,2,Dabang Delhi K.C.,61.0,Team Super Raid,All Seasons
122,3,7,Puneri Paltan,61.0,Team Super Raid,All Seasons
120,7,3,Jaipur Pink Panthers,60.0,Team Super Raid,All Seasons
119,8,8,Telugu Titans,57.0,Team Super Raid,All Seasons
60,9,28,Haryana Steelers,35.0,Team Super Raid,All Seasons
63,9,30,U.P. Yoddha,35.0,Team Super Raid,All Seasons
65,11,31,Gujarat Fortunegiants,25.0,Team Super Raid,All Seasons
60,12,29,Tamil Thalaivas,16.0,Team Super Raid,All Seasons
128,1,6,Patna Pirates,130.0,Team Super Tackles,All Seasons
120,2,3,Jaipur Pink Panthers,124.0,Team Super Tackles,All Seasons
122,3,7,Puneri Paltan,119.0,Team Super Tackles,All Seasons
119,4,8,Telugu Titans,115.0,Team Super Tackles,All Seasons
122,5,5,U Mumba,101.0,Team Super Tackles,All Seasons
121,6,4,Bengal Warriors,98.0,Team Super Tackles,All Seasons
118,7,2,Dabang Delhi K.C.,95.0,Team Super Tackles,All Seasons
122,8,1,Bengaluru Bulls,93.0,Team Super Tackles,All Seasons
63,9,30,U.P. Yoddha,57.0,Team Super Tackles,All Seasons
60,10,28,Haryana Steelers,47.0,Team Super Tackles,All Seasons
65,11,31,Gujarat Fortunegiants,45.0,Team Super Tackles,All Seasons
60,12,29,Tamil Thalaivas,44.0,Team Super Tackles,All Seasons
122,1,7,Puneri Paltan,510.0,Team DOD Raid Points,All Seasons
120,2,3,Jaipur Pink Panthers,457.0,Team DOD Raid Points,All Seasons
128,3,6,Patna Pirates,456.0,Team DOD Raid Points,All Seasons
122,4,1,Bengaluru Bulls,449.0,Team DOD Raid Points,All Seasons
122,5,5,U Mumba,444.0,Team DOD Raid Points,All Seasons
121,6,4,Bengal Warriors,439.0,Team DOD Raid Points,All Seasons
118,7,2,Dabang Delhi K.C.,438.0,Team DOD Raid Points,All Seasons
119,8,8,Telugu Titans,423.0,Team DOD Raid Points,All Seasons
63,9,30,U.P. Yoddha,223.0,Team DOD Raid Points,All Seasons
65,10,31,Gujarat Fortunegiants,219.0,Team DOD Raid Points,All Seasons
60,11,28,Haryana Steelers,201.0,Team DOD Raid Points,All Seasons
60,11,29,Tamil Thalaivas,201.0,Team DOD Raid Points,All Seasons
128,1,6,Patna Pirates,189.0,Team All-outs Inflicted,All Seasons
122,2,5,U Mumba,165.0,Team All-outs Inflicted,All Seasons
122,3,1,Bengaluru Bulls,148.0,Team All-outs Inflicted,All Seasons
119,4,8,Telugu Titans,136.0,Team All-outs Inflicted,All Seasons
118,5,2,Dabang Delhi K.C.,133.0,Team All-outs Inflicted,All Seasons
120,5,3,Jaipur Pink Panthers,133.0,Team All-outs Inflicted,All Seasons
122,7,7,Puneri Paltan,129.0,Team All-outs Inflicted,All Seasons
121,8,4,Bengal Warriors,123.0,Team All-outs Inflicted,All Seasons
65,9,31,Gujarat Fortunegiants,87.0,Team All-outs Inflicted,All Seasons
63,10,30,U.P. Yoddha,65.0,Team All-outs Inflicted,All Seasons
60,11,28,Haryana Steelers,64.0,Team All-outs Inflicted,All Seasons
60,12,29,Tamil Thalaivas,50.0,Team All-outs Inflicted,All Seasons
118,1,2,Dabang Delhi K.C.,162.0,Team All-outs Conceded,All Seasons
122,2,7,Puneri Paltan,154.0,Team All-outs Conceded,All Seasons
122,3,1,Bengaluru Bulls,141.0,Team All-outs Conceded,All Seasons
121,4,4,Bengal Warriors,140.0,Team All-outs Conceded,All Seasons
128,5,6,Patna Pirates,139.0,Team All-outs Conceded,All Seasons
120,6,3,Jaipur Pink Panthers,138.0,Team All-outs Conceded,All Seasons
122,7,5,U Mumba,134.0,Team All-outs Conceded,All Seasons
119,8,8,Telugu Titans,128.0,Team All-outs Conceded,All Seasons
63,9,30,U.P. Yoddha,80.0,Team All-outs Conceded,All Seasons
60,10,29,Tamil Thalaivas,79.0,Team All-outs Conceded,All Seasons
60,11,28,Haryana Steelers,72.0,Team All-outs Conceded,All Seasons
65,12,31,Gujarat Fortunegiants,55.0,Team All-outs Conceded,All Seasons
16,1,2,Dabang Delhi K.C.,567.0,Team Total Points,Season 7
16,2,4,Bengal Warriors,547.0,Team Total Points,Season 7
16,3,1,Bengaluru Bulls,544.0,Team Total Points,Season 7
16,4,6,Patna Pirates,525.0,Team Total Points,Season 7
15,5,28,Haryana Steelers,507.0,Team Total Points,Season 7
